Age,Gender,Stream,Internships,CGPA,HistoryOfBacklogs,PlacedOrNot,CodingSkills,Aptitude Skills,TechnicalSkills,Communication Skills
21,Male,Electrical,1,7,1,1,21,20,18,25
21,Male,Electrical,1,7,0,1,21,31,21,27
22,Female,Information Technology,2,8,0,1,26,21,28,24
21,Female,Electronics And Communication,3,6,0,1,31,29,31,28
22,Male,Computer Science,1,8,0,1,34,26,36,26
21,Male,Electronics And Communication,1,7,1,1,25,21,21,23
21,Male,Information Technology,2,7,0,1,17,21,21,25
21,Female,Electronics And Communication,0,7,0,0,18,25,17,26
22,Male,Electronics And Communication,0,8,0,1,19,26,14,31
21,Male,Electrical,1,8,0,1,20,23,14,32
21,Female,Computer Science,1,8,0,1,21,24,18,36
21,Male,Electrical,3,6,1,0,25,28,19,39
21,Female,Electronics And Communication,3,6,0,1,26,29,16,34
21,Male,Computer Science,1,7,0,1,23,32,17,37
21,Male,Electronics And Communication,0,8,0,1,24,31,14,32
21,Male,Civil,0,8,0,1,21,34,17,50
21,Male,Electronics And Communication,0,8,0,1,26,36,16,51
21,Female,Electrical,1,8,0,1,24,12,19,41
21,Male,Computer Science,2,9,1,1,23,21,18,12
22,Male,Computer Science,0,8,0,1,26,25,17,19
21,Male,Information Technology,0,8,0,1,12,27,35,31
21,Male,Information Technology,0,9,0,1,21,36,36,28
21,Male,Information Technology,1,8,0,1,32,35,32,24
22,Male,Mechanical,0,9,0,1,25,32,24,26
22,Male,Computer Science,1,9,0,1,24,31,35,28
21,Male,Information Technology,0,8,0,1,26,27,28,27
22,Male,Computer Science,2,9,0,1,24,26,27,29
21,Male,Mechanical,0,8,1,1,21,26,26,27
22,Male,Electrical,1,8,0,1,23,25,21,25
22,Male,Information Technology,0,9,0,1,29,21,25,21
22,Male,Computer Science,3,9,0,1,10,14,12,21
21,Male,Information Technology,0,8,0,1,12,14,21,24
22,Male,Information Technology,1,9,0,1,10,12,21,21
21,Male,Civil,0,8,0,1,5,17,23,23
21,Male,Mechanical,0,9,0,1,6,16,10,25
22,Male,Mechanical,0,8,1,1,7,15,14,20
22,Male,Information Technology,0,8,0,1,8,14,11,21
21,Male,Computer Science,1,8,0,1,9,13,12,24
21,Male,Civil,0,9,0,1,10,12,13,26
21,Male,Computer Science,1,9,0,1,11,11,14,25
22,Male,Mechanical,0,8,0,1,12,9,15,24
21,Male,Information Technology,0,8,0,1,26,8,16,24
21,Male,Mechanical,0,8,0,1,36,7,11,21
21,Male,Electronics And Communication,2,7,0,1,24,9,10,23
21,Male,Computer Science,0,8,0,1,14,19,9,20
21,Male,Computer Science,0,6,0,0,12,17,8,10
22,Female,Civil,1,6,0,0,26,14,7,20
22,Male,Mechanical,1,7,0,0,36,16,6,10
21,Male,Civil,1,8,1,1,41,12,5,20
22,Male,Information Technology,1,6,0,1,21,14,4,21
21,Male,Electrical,1,6,0,1,28,15,2,24
22,Female,Information Technology,2,7,0,0,35,12,1,22
22,Male,Electronics And Communication,0,6,0,0,31,14,5,21
22,Male,Computer Science,1,8,0,1,31,19,6,16
21,Male,Computer Science,2,7,0,0,32,17,4,15
22,Male,Information Technology,0,8,0,1,11,14,8,11
22,Female,Information Technology,0,7,0,0,32,32,31,24
21,Male,Mechanical,0,7,0,0,25,31,32,26
23,Male,Computer Science,0,7,0,1,26,32,24,25
23,Male,Civil,0,6,0,1,36,34,25,24
23,Male,Mechanical,1,5,0,0,39,39,29,29
24,Male,Information Technology,2,6,0,1,40,36,26,28
23,Male,Electrical,0,5,0,0,45,35,27,27
23,Male,Information Technology,1,6,0,0,47,30,31,24
24,Female,Information Technology,0,6,0,1,42,47,25,26
24,Male,Information Technology,1,7,0,1,47,42,24,25
24,Male,Civil,1,7,1,1,48,41,22,25
23,Male,Information Technology,1,7,0,1,49,45,20,21
23,Male,Information Technology,1,6,0,1,89,52,66,24
24,Male,Electronics And Communication,1,6,1,1,85,54,65,54
24,Male,Electrical,0,7,0,0,84,58,62,53
23,Male,Information Technology,1,6,0,0,74,59,78,50
24,Male,Computer Science,0,6,0,1,85,59,74,52
23,Male,Electrical,0,6,0,0,86,53,70,51
23,Male,Information Technology,1,7,0,1,89,54,64,56
23,Male,Information Technology,1,7,0,1,52,57,61,54
24,Male,Information Technology,3,5,1,1,58,59,68,59
23,Male,Mechanical,0,6,0,1,59,58,62,58
23,Female,Information Technology,2,6,0,1,66,52,68,54
23,Male,Electronics And Communication,1,7,0,0,62,65,62,55
23,Male,Information Technology,1,5,0,1,64,64,61,52
23,Male,Information Technology,1,7,0,1,55,85,90,30
23,Male,Mechanical,2,7,0,1,56,90,85,35
24,Male,Information Technology,1,5,0,0,76,85,90,45
24,Male,Information Technology,1,7,0,0,87,90,90,20
24,Male,Computer Science,2,7,0,1,98,85,80,75
24,Male,Electronics And Communication,0,5,0,0,89,75,80,78
24,Male,Information Technology,1,7,0,1,67,79,80,78
23,Male,Mechanical,0,6,1,1,65,65,70,75
23,Male,Computer Science,0,6,0,0,87,75,74,60
23,Female,Mechanical,1,7,0,0,78,91,85,71
24,Male,Computer Science,1,6,0,1,85,82,69,85
23,Male,Mechanical,1,6,1,1,89,97,91,93
24,Male,Computer Science,0,6,0,1,80,89,65,80
24,Male,Mechanical,0,6,0,1,95,90,80,86
24,Male,Information Technology,0,5,0,1,95,72,72,68
23,Male,Electrical,0,5,0,0,90,70,65,55
24,Male,Electrical,0,5,0,0,70,74,60,55
23,Male,Computer Science,1,5,0,1,50,70,60,55
23,Male,Electronics And Communication,0,7,0,1,60,70,65,60
24,Male,Information Technology,3,7,0,1,90,70,70,70
24,Male,Computer Science,2,5,0,1,70,60,65,40
24,Male,Computer Science,2,5,0,1,94,40,60,45
23,Male,Civil,0,7,0,1,55,55,45,47
24,Male,Information Technology,1,6,0,1,88,80,87,74
23,Male,Mechanical,0,5,1,0,45,82,80,77
23,Male,Electrical,0,6,0,0,49,78,82,86
24,Male,Computer Science,1,7,0,1,51,80,78,70
23,Male,Electrical,0,5,0,0,65,39,47,48
24,Female,Information Technology,0,5,0,0,85,64,62,60
23,Male,Computer Science,1,5,0,1,40,42,46,47
23,Female,Electronics And Communication,2,6,0,0,90,64,62,67
24,Male,Civil,0,7,0,1,55,54,52,59
24,Male,Electronics And Communication,2,6,0,1,60,56,54,56
23,Male,Information Technology,0,5,0,0,78,80,74,89
24,Male,Computer Science,2,6,0,1,84,78,79,80
23,Male,Computer Science,1,6,0,0,74,54,54,57
24,Male,Computer Science,0,7,1,1,58,68,65,64
22,Male,Electronics And Communication,0,7,0,1,52,75,76,74
22,Male,Mechanical,0,5,0,0,67,24,30,74
22,Male,Computer Science,1,5,0,0,47,20,40,40
21,Male,Computer Science,1,6,0,1,63,26,27,60
21,Male,Civil,3,6,0,1,53,26,31,76
21,Male,Computer Science,0,6,1,1,52,20,18,25
21,Male,Electrical,0,5,0,0,80,31,21,27
21,Female,Information Technology,1,6,0,0,74,21,28,24
22,Male,Computer Science,1,5,0,0,58,29,31,28
22,Male,Computer Science,1,5,0,0,64,26,36,26
21,Male,Civil,1,6,0,1,74,21,21,23
21,Female,Information Technology,2,5,0,0,20,21,21,25
21,Male,Information Technology,1,6,0,1,25,25,17,26
22,Male,Civil,0,6,0,0,25,26,14,31
22,Male,Civil,0,7,1,0,24,23,14,32
21,Male,Information Technology,0,7,0,1,21,24,18,36
21,Male,Electronics And Communication,0,7,0,1,21,28,19,39
22,Female,Information Technology,1,7,0,0,26,29,16,34
22,Male,Electrical,1,6,0,1,31,32,17,37
21,Female,Mechanical,1,5,0,0,34,31,14,32
22,Female,Information Technology,1,6,0,0,25,34,17,50
22,Male,Computer Science,2,6,0,1,17,36,16,51
21,Male,Electronics And Communication,1,6,1,0,18,12,19,41
22,Male,Civil,0,5,0,0,19,21,18,12
21,Male,Electrical,2,5,1,0,20,25,17,19
22,Male,Civil,1,7,0,0,21,27,35,31
21,Female,Computer Science,1,7,0,0,25,36,36,28
21,Male,Computer Science,1,6,0,0,26,35,32,24
22,Female,Electronics And Communication,1,5,0,0,23,32,24,26
21,Female,Information Technology,0,6,0,0,24,31,35,28
22,Male,Computer Science,0,5,0,0,21,27,28,27
22,Male,Computer Science,0,5,0,0,26,26,27,29
21,Male,Mechanical,0,7,0,0,24,26,26,27
21,Male,Computer Science,0,5,0,0,23,25,21,25
21,Male,Information Technology,0,5,1,0,26,21,25,21
22,Female,Computer Science,1,5,0,0,12,14,12,21
21,Male,Electronics And Communication,2,6,1,0,21,14,21,24
21,Male,Information Technology,1,5,1,0,32,12,21,21
22,Female,Computer Science,2,7,0,0,25,17,23,23
21,Male,Computer Science,0,8,0,1,24,16,10,25
21,Male,Computer Science,2,7,0,1,26,15,14,20
22,Male,Computer Science,1,6,0,0,24,14,11,21
21,Female,Information Technology,2,6,0,1,21,13,12,24
21,Male,Electronics And Communication,1,7,0,0,23,12,13,26
21,Female,Computer Science,1,7,0,0,29,11,14,25
21,Male,Mechanical,0,8,0,1,10,9,15,24
22,Male,Mechanical,0,8,0,1,12,8,16,24
22,Male,Information Technology,1,6,0,0,10,7,11,21
21,Female,Electrical,0,7,0,0,5,9,10,23
21,Male,Mechanical,0,8,0,1,6,19,9,20
21,Male,Computer Science,2,8,0,1,7,17,8,10
21,Male,Information Technology,1,7,0,0,8,14,7,20
22,Male,Information Technology,0,6,1,0,9,16,6,10
22,Male,Information Technology,1,8,0,1,10,12,5,20
21,Male,Electrical,1,7,0,1,11,14,4,21
21,Female,Civil,1,6,0,0,12,15,2,24
21,Male,Computer Science,3,6,0,1,26,12,1,22
21,Male,Civil,1,7,0,0,36,14,5,21
22,Male,Electrical,1,7,0,0,24,19,6,16
21,Male,Electronics And Communication,2,6,1,0,14,17,4,15
22,Male,Electrical,1,8,1,1,12,14,8,11
22,Male,Computer Science,2,8,0,1,26,32,31,24
21,Male,Mechanical,1,6,1,0,36,31,32,26
22,Male,Computer Science,0,7,0,0,41,32,24,25
22,Male,Civil,0,6,0,0,21,34,25,24
21,Male,Civil,0,6,0,0,28,39,29,29
21,Female,Computer Science,1,7,0,0,35,36,26,28
21,Male,Computer Science,2,7,0,1,31,35,27,27
21,Female,Mechanical,1,6,0,0,31,30,31,24
22,Male,Mechanical,0,6,0,0,32,47,25,26
22,Male,Electronics And Communication,1,8,0,1,11,42,24,25
22,Male,Computer Science,1,8,0,1,32,41,22,25
21,Female,Information Technology,0,8,0,1,25,45,20,21
22,Male,Information Technology,1,7,0,0,26,52,66,24
21,Male,Information Technology,0,8,1,1,36,54,65,54
22,Male,Computer Science,1,8,0,1,39,58,62,53
22,Male,Computer Science,1,7,0,0,40,59,78,50
21,Female,Information Technology,2,7,0,1,45,59,74,52
21,Female,Mechanical,1,8,0,1,47,53,70,51
21,Female,Computer Science,1,6,0,0,42,54,64,56
22,Female,Information Technology,1,7,0,0,47,57,61,54
22,Female,Computer Science,0,6,0,0,48,59,68,59
21,Male,Information Technology,2,8,0,1,49,58,62,58
22,Male,Civil,0,7,1,0,89,52,68,54
21,Male,Electrical,1,6,0,0,85,65,62,55
21,Male,Electronics And Communication,2,6,0,1,84,64,61,52
21,Male,Mechanical,1,7,0,0,74,85,90,30
22,Male,Civil,0,7,0,0,85,90,85,35
22,Female,Electrical,1,6,0,0,86,85,90,45
22,Male,Computer Science,0,8,0,1,89,90,90,20
21,Male,Computer Science,3,8,0,1,52,85,80,75
21,Female,Information Technology,0,8,1,1,58,75,80,78
22,Male,Electronics And Communication,0,6,0,0,59,79,80,78
22,Male,Civil,1,7,0,0,66,65,70,75
22,Male,Information Technology,1,8,1,1,62,75,74,60
22,Female,Computer Science,1,8,1,1,64,91,85,71
22,Male,Mechanical,1,8,0,1,55,82,69,85
21,Male,Electrical,2,6,0,1,56,97,91,93
22,Male,Electronics And Communication,1,6,0,0,76,89,65,80
22,Male,Information Technology,0,8,0,1,87,90,80,86
22,Female,Computer Science,1,7,0,0,98,72,72,68
21,Male,Information Technology,1,8,0,1,89,70,65,55
21,Male,Electrical,1,7,0,1,67,74,60,55
22,Male,Mechanical,0,8,1,1,65,70,60,55
21,Male,Civil,0,6,0,0,87,70,65,60
21,Male,Information Technology,1,6,0,0,78,70,70,70
21,Female,Information Technology,1,8,0,1,85,60,65,40
22,Male,Electronics And Communication,1,8,1,1,89,40,60,45
21,Male,Civil,1,7,0,0,80,55,45,47
22,Male,Information Technology,2,6,0,1,95,80,87,74
21,Male,Electrical,0,6,0,0,95,82,80,77
22,Male,Information Technology,1,7,1,0,90,78,82,86
21,Male,Electronics And Communication,0,6,0,0,70,80,78,70
22,Male,Computer Science,0,8,1,1,50,39,47,48
21,Male,Electronics And Communication,1,7,0,0,60,64,62,60
22,Male,Mechanical,0,6,0,0,90,42,46,47
21,Male,Civil,0,7,0,0,70,64,62,67
21,Female,Civil,1,7,0,0,94,54,52,59
21,Male,Computer Science,1,7,0,0,55,56,54,56
21,Male,Information Technology,0,6,1,1,88,80,74,89
21,Female,Electronics And Communication,2,7,0,1,45,78,79,80
22,Female,Mechanical,1,8,0,1,49,54,54,57
21,Male,Mechanical,0,6,1,1,51,68,65,64
21,Male,Civil,0,7,0,1,65,75,76,74
22,Male,Electronics And Communication,0,8,0,1,85,24,30,74
21,Male,Electronics And Communication,1,6,1,1,40,20,40,40
21,Male,Mechanical,2,6,0,0,90,26,27,60
22,Male,Computer Science,0,8,0,1,55,26,31,76
21,Male,Civil,0,7,0,0,60,20,18,25
22,Male,Information Technology,0,7,0,0,78,31,21,27
22,Male,Computer Science,0,7,0,0,84,21,28,24
22,Male,Civil,1,6,0,0,74,29,31,28
22,Female,Computer Science,2,6,1,0,58,26,36,26
22,Male,Electronics And Communication,0,7,0,1,52,21,21,23
21,Male,Civil,0,8,0,1,67,21,21,25
21,Male,Civil,0,8,0,1,47,25,17,26
22,Male,Computer Science,2,6,0,1,63,26,14,31
22,Male,Computer Science,2,7,0,1,53,23,14,32
22,Male,Electronics And Communication,1,7,1,1,52,24,18,36
21,Male,Information Technology,2,7,0,1,80,28,19,39
22,Male,Civil,0,6,0,0,74,29,16,34
22,Male,Civil,1,6,0,1,58,32,17,37
21,Male,Electronics And Communication,0,7,0,0,64,31,14,32
21,Male,Information Technology,0,7,0,1,74,34,17,50
22,Male,Electronics And Communication,1,8,0,1,20,36,16,51
22,Male,Computer Science,0,6,1,0,25,12,19,41
22,Male,Electrical,2,8,1,1,25,21,18,12
22,Male,Information Technology,0,6,1,1,24,25,17,19
22,Female,Computer Science,1,6,0,1,21,27,35,31
21,Male,Electrical,0,8,0,1,21,36,36,28
21,Male,Computer Science,1,7,0,1,26,35,32,24
22,Male,Information Technology,2,7,1,1,31,32,24,26
22,Female,Computer Science,1,8,0,1,34,31,35,28
22,Male,Civil,0,6,0,1,25,27,28,27
22,Male,Mechanical,0,6,0,1,17,26,27,29
22,Male,Civil,0,7,0,0,18,26,26,27
22,Female,Information Technology,0,6,0,1,19,25,21,25
22,Male,Electrical,1,8,0,1,20,21,25,21
21,Female,Computer Science,0,6,0,0,21,14,12,21
21,Male,Computer Science,1,6,0,1,25,14,21,24
21,Male,Computer Science,0,8,0,1,26,12,21,21
21,Male,Mechanical,0,7,1,1,23,17,23,23
21,Male,Computer Science,2,8,0,1,24,16,10,25
22,Male,Civil,0,8,0,1,21,15,14,20
21,Male,Mechanical,1,6,0,0,26,14,11,21
22,Male,Computer Science,0,8,0,1,24,13,12,24
21,Male,Computer Science,1,8,0,1,23,12,13,26
21,Male,Electronics And Communication,0,6,0,0,26,11,14,25
22,Male,Electronics And Communication,1,6,1,0,12,9,15,24
22,Male,Information Technology,0,8,0,1,21,8,16,24
21,Male,Computer Science,1,6,0,0,32,7,11,21
22,Female,Electrical,0,6,0,1,25,9,10,23
22,Male,Electronics And Communication,0,7,0,0,24,19,9,20
21,Male,Information Technology,0,8,0,1,26,17,8,10
22,Male,Mechanical,0,8,1,1,24,14,7,20
22,Male,Mechanical,0,7,1,0,21,16,6,10
21,Male,Electronics And Communication,0,8,0,1,23,12,5,20
21,Male,Information Technology,1,6,0,0,29,14,4,21
22,Female,Computer Science,2,7,0,1,10,15,2,24
22,Male,Electronics And Communication,0,7,0,0,12,12,1,22
21,Male,Electronics And Communication,1,7,1,1,10,14,5,21
22,Male,Information Technology,0,8,0,1,5,19,6,16
21,Male,Information Technology,0,8,0,1,6,17,4,15
22,Female,Electrical,1,8,1,1,7,14,8,11
22,Male,Information Technology,1,6,0,1,8,32,31,24
22,Male,Mechanical,0,8,1,1,9,31,32,26
21,Male,Mechanical,0,6,0,1,10,32,24,25
21,Male,Electronics And Communication,1,8,0,1,11,34,25,24
21,Male,Civil,0,7,0,0,12,39,29,29
22,Female,Computer Science,1,8,0,1,26,36,26,28
22,Female,Information Technology,1,7,0,1,36,35,27,27
21,Male,Mechanical,1,6,0,0,24,30,31,24
21,Male,Mechanical,0,7,0,1,14,47,25,26
21,Male,Electronics And Communication,0,8,0,1,12,42,24,25
22,Male,Computer Science,0,6,0,1,26,41,22,25
22,Male,Electrical,0,6,1,0,36,45,20,21
21,Male,Information Technology,2,8,0,1,41,52,66,24
22,Male,Electrical,0,8,0,1,21,54,65,54
21,Male,Electronics And Communication,1,7,0,0,28,58,62,53
22,Male,Mechanical,0,7,0,1,35,59,78,50
22,Male,Electronics And Communication,0,7,0,0,31,59,74,52
21,Male,Computer Science,1,8,0,1,31,53,70,51
22,Male,Electronics And Communication,0,8,0,1,32,54,64,56
21,Male,Computer Science,0,8,1,1,11,57,61,54
21,Male,Information Technology,1,7,1,0,32,59,68,59
22,Male,Electronics And Communication,0,7,0,0,25,58,62,58
22,Male,Computer Science,1,6,0,0,26,52,68,54
21,Male,Computer Science,0,8,1,1,36,65,62,55
21,Female,Electrical,0,6,0,0,39,64,61,52
21,Male,Information Technology,0,6,0,0,40,85,90,30
22,Male,Computer Science,2,8,0,1,45,90,85,35
21,Female,Computer Science,1,7,0,0,47,85,90,45
22,Male,Information Technology,0,6,0,0,42,90,90,20
22,Male,Information Technology,0,6,0,0,47,85,80,75
22,Male,Civil,1,6,0,0,48,75,80,78
22,Male,Mechanical,0,7,0,0,49,79,80,78
21,Male,Mechanical,0,8,0,1,89,65,70,75
21,Female,Information Technology,0,6,0,0,85,75,74,60
21,Male,Mechanical,1,6,1,0,84,91,85,71
22,Male,Computer Science,0,7,1,0,74,82,69,85
21,Male,Computer Science,0,7,0,0,85,97,91,93
22,Male,Information Technology,0,8,0,1,86,89,65,80
21,Male,Computer Science,0,6,0,0,89,90,80,86
21,Male,Information Technology,1,6,0,0,52,72,72,68
22,Female,Electronics And Communication,1,6,1,0,58,70,65,55
21,Male,Information Technology,0,6,0,0,59,74,60,55
21,Male,Computer Science,1,8,0,1,66,70,60,55
22,Male,Mechanical,1,6,0,0,62,70,65,60
22,Female,Electronics And Communication,0,7,0,0,64,70,70,70
22,Female,Information Technology,0,7,1,0,55,60,65,40
22,Male,Civil,0,6,0,0,56,40,60,45
22,Male,Mechanical,0,8,0,1,76,55,45,47
21,Male,Electronics And Communication,0,8,0,1,87,80,87,74
22,Male,Computer Science,1,6,0,0,98,82,80,77
21,Male,Mechanical,0,6,0,0,89,78,82,86
21,Male,Information Technology,1,8,0,1,67,80,78,70
21,Male,Electronics And Communication,1,8,1,1,65,39,47,48
21,Male,Electronics And Communication,2,8,0,1,87,64,62,60
21,Female,Electronics And Communication,2,7,0,1,78,42,46,47
21,Male,Information Technology,0,6,1,0,85,64,62,67
22,Male,Electrical,0,6,0,0,89,54,52,59
22,Male,Mechanical,1,6,0,0,80,56,54,56
21,Male,Electronics And Communication,1,6,1,0,95,80,74,89
21,Female,Information Technology,1,5,0,0,95,78,79,80
21,Female,Computer Science,0,6,1,0,90,54,54,57
22,Male,Information Technology,1,5,0,0,70,68,65,64
21,Male,Mechanical,1,5,1,0,50,75,76,74
21,Male,Information Technology,2,6,0,1,60,24,30,74
21,Male,Computer Science,2,5,1,0,90,20,40,40
22,Male,Electrical,0,5,0,0,70,26,27,60
21,Male,Information Technology,0,5,1,0,94,26,31,76
22,Male,Electronics And Communication,2,7,1,0,55,20,18,25
21,Male,Electrical,0,7,1,0,88,31,21,27
21,Male,Electronics And Communication,1,6,1,0,45,21,28,24
22,Male,Computer Science,1,6,0,0,49,29,31,28
22,Male,Mechanical,0,6,0,0,51,26,36,26
22,Male,Computer Science,2,6,0,1,65,21,21,23
21,Male,Electrical,0,6,0,0,85,21,21,25
22,Male,Civil,0,6,0,0,40,25,17,26
22,Male,Information Technology,0,7,0,0,90,26,14,31
21,Male,Computer Science,0,6,1,0,55,23,14,32
22,Male,Electrical,2,6,1,0,60,24,18,36
22,Male,Computer Science,1,6,0,0,78,28,19,39
21,Male,Computer Science,1,7,0,0,84,29,16,34
22,Male,Mechanical,0,8,0,1,74,32,17,37
21,Male,Electrical,3,7,0,1,58,31,14,32
22,Male,Mechanical,0,8,1,1,52,34,17,50
21,Male,Electrical,0,6,0,0,67,36,16,51
21,Female,Computer Science,0,8,0,1,47,12,19,41
21,Male,Computer Science,0,7,0,0,63,21,18,12
21,Female,Electrical,1,6,0,0,53,25,17,19
22,Female,Civil,1,8,0,1,52,27,35,31
21,Male,Civil,0,8,0,1,80,36,36,28
21,Male,Information Technology,1,6,0,0,74,35,32,24
21,Male,Computer Science,1,6,0,0,58,32,24,26
21,Male,Mechanical,0,6,1,0,64,31,35,28
21,Male,Civil,0,7,0,0,74,27,28,27
21,Female,Information Technology,1,8,0,1,20,26,27,29
22,Male,Civil,0,8,0,1,25,26,26,27
22,Male,Computer Science,0,7,1,0,25,25,21,25
21,Male,Electrical,0,6,0,0,24,21,25,21
21,Male,Electrical,1,6,1,0,21,14,12,21
22,Male,Electronics And Communication,1,8,1,1,21,14,21,24
21,Male,Computer Science,0,7,1,0,26,12,21,21
21,Male,Computer Science,0,7,1,0,31,17,23,23
21,Male,Civil,1,8,1,1,34,16,10,25
22,Male,Information Technology,0,8,0,1,25,15,14,20
21,Male,Electronics And Communication,0,6,0,0,17,14,11,21
28,Male,Civil,0,8,0,1,18,13,12,24
21,Male,Computer Science,2,7,0,1,19,12,13,26
22,Male,Electronics And Communication,2,6,0,1,20,11,14,25
21,Male,Information Technology,1,8,0,1,21,9,15,24
22,Male,Mechanical,0,6,0,1,25,8,16,24
21,Male,Mechanical,0,8,0,1,26,7,11,21
21,Male,Information Technology,1,6,0,0,23,9,10,23
22,Female,Mechanical,1,7,0,0,24,19,9,20
22,Male,Electronics And Communication,0,8,0,1,21,17,8,10
21,Male,Electrical,0,6,0,0,26,14,7,20
21,Male,Mechanical,0,6,0,1,24,16,6,10
22,Male,Mechanical,0,7,0,0,23,12,5,20
22,Male,Electronics And Communication,1,6,1,0,26,14,4,21
22,Male,Computer Science,0,7,1,1,12,15,2,24
21,Male,Computer Science,0,7,0,1,21,12,1,22
22,Male,Computer Science,0,8,1,1,32,14,5,21
22,Male,Information Technology,1,6,0,0,25,19,6,16
21,Male,Electronics And Communication,0,6,0,0,24,17,4,15
22,Male,Computer Science,0,6,0,1,26,14,8,11
21,Male,Civil,0,6,0,1,24,32,31,24
22,Female,Information Technology,1,8,0,1,21,31,32,26
21,Male,Information Technology,1,8,0,1,23,32,24,25
21,Male,Mechanical,0,8,0,1,29,34,25,24
22,Male,Civil,0,6,0,0,10,39,29,29
22,Male,Electrical,0,7,1,0,12,36,26,28
21,Male,Information Technology,1,6,1,1,10,35,27,27
21,Male,Mechanical,1,6,0,0,5,30,31,24
22,Male,Mechanical,0,6,1,1,6,47,25,26
22,Female,Information Technology,0,7,0,1,7,42,24,25
22,Male,Information Technology,2,7,0,0,8,41,22,25
21,Male,Computer Science,3,8,0,1,9,45,20,21
22,Male,Computer Science,0,6,0,1,10,52,66,24
21,Male,Computer Science,0,8,1,1,11,54,65,54
21,Female,Information Technology,1,8,1,1,12,58,62,53
21,Female,Computer Science,0,8,1,1,26,59,78,50
22,Male,Information Technology,1,6,0,1,36,59,74,52
21,Male,Electronics And Communication,0,8,1,1,24,53,70,51
22,Female,Mechanical,1,7,0,0,14,54,64,56
21,Male,Information Technology,1,8,0,1,12,57,61,54
22,Male,Electrical,0,6,0,0,26,59,68,59
22,Male,Mechanical,0,7,0,0,36,58,62,58
22,Male,Civil,0,6,0,0,41,52,68,54
22,Male,Information Technology,0,6,1,1,21,65,62,55
22,Male,Electronics And Communication,1,7,0,0,28,64,61,52
21,Male,Information Technology,1,8,0,1,35,85,90,30
22,Male,Electrical,1,7,0,0,31,90,85,35
22,Male,Mechanical,0,6,0,1,31,85,90,45
21,Male,Civil,2,6,0,1,32,90,90,20
22,Male,Electronics And Communication,0,6,0,1,11,85,80,75
21,Male,Computer Science,0,7,0,1,32,75,80,78
22,Male,Mechanical,0,7,1,0,25,79,80,78
22,Male,Mechanical,2,7,0,1,26,65,70,75
22,Male,Mechanical,0,7,0,1,36,75,74,60
21,Male,Computer Science,0,7,0,0,39,91,85,71
22,Male,Computer Science,1,7,0,1,40,82,69,85
21,Male,Electrical,0,6,0,1,45,97,91,93
22,Male,Civil,0,6,0,0,47,89,65,80
21,Male,Information Technology,3,8,0,1,42,90,80,86
22,Female,Electronics And Communication,3,8,1,1,47,72,72,68
21,Male,Information Technology,0,7,1,1,48,70,65,55
21,Male,Computer Science,1,8,0,1,49,74,60,55
21,Male,Information Technology,0,7,0,0,89,70,60,55
21,Male,Mechanical,2,6,0,1,85,70,65,60
